GET ATOMIC IMAGES OF A CHOSEN RESOLUTION

input file of scattering factors :
    MX_wk1995_6.SF
truncation radius          11.0000
distance grid step          0.0010
resolution cut-off          1.0000
resolution grid number   2000
temperature factor          0.0000
number of atomic types      7
following atomic types are chosen :
    C    N    O    P    S    Fe   Au  

scattering factors file. First line:
following wk1995.cpp from Phenix

table of scattering factors contains data for  213  atomic types
    6 -Gaussian approximation is used
identified positions in the table
    7    8    9   16   17   27   80

     N     dist       C              N              O              P              S              Fe             Au             
     0     0.0000        9.34733585    11.56238141    14.37316038    33.40054445    35.10224077    61.78256054   229.03885334
     1     0.0010        9.34730335    11.56234185    14.37311122    33.40042117    35.10211172    61.78233649   229.03799607
     2     0.0020        9.34720586    11.56222317    14.37296376    33.40005133    35.10172460    61.78166434   229.03542429
     3     0.0030        9.34704338    11.56202537    14.37271799    33.39943495    35.10107939    61.78054410   229.03113803
     4     0.0040        9.34681590    11.56174845    14.37237392    33.39857202    35.10017612    61.77897579   229.02513736
     5     0.0050        9.34652344    11.56139243    14.37193154    33.39746257    35.09901480    61.77695944   229.01742239
     6     0.0060        9.34616600    11.56095729    14.37139088    33.39610661    35.09759545    61.77449507   229.00799323
     7     0.0070        9.34574358    11.56044306    14.37075194    33.39450416    35.09591809    61.77158274   228.99685006
     8     0.0080        9.34525619    11.55984973    14.37001472    33.39265526    35.09398274    61.76822248   228.98399304
     9     0.0090        9.34470385    11.55917733    14.36917924    33.39055993    35.09178945    61.76441434   228.96942240
    10     0.0100        9.34408655    11.55842585    14.36824552    33.38821820    35.08933824    61.76015840   228.95313836
    11     0.0110        9.34340430    11.55759532    14.36721357    33.38563011    35.08662916    61.75545473   228.93514121
    12     0.0120        9.34265713    11.55668574    14.36608339    33.38279572    35.08366225    61.75030338   228.91543123
    13     0.0130        9.34184503    11.55569713    14.36485502    33.37971505    35.08043756    61.74470446   228.89400876
    14     0.0140        9.34096803    11.55462950    14.36352847    33.37638817    35.07695514    61.73865805   228.87087413
    15     0.0150        9.34002614    11.55348287    14.36210377    33.37281513    35.07321505    61.73216425   228.84602775
    16     0.0160        9.33901937    11.55225727    14.36058092    33.36899599    35.06921735    61.72522316   228.81947001
    17     0.0170        9.33794774    11.55095270    14.35895997    33.36493080    35.06496211    61.71783490   228.79120135
    18     0.0180        9.33681126    11.54956919    14.35724093    33.36061964    35.06044939    61.70999958   228.76122224
    19     0.0190        9.33560996    11.54810676    14.35542383    33.35606258    35.05567928    61.70171734   228.72953317
    20     0.0200        9.33434385    11.54656544    14.35350870    33.35125969    35.05065184    61.69298831   228.69613467
    21     0.0210        9.33301296    11.54494525    14.35149558    33.34621105    35.04536717    61.68381263   228.66102728
    22     0.0220        9.33161730    11.54324621    14.34938448    33.34091675    35.03982534    61.67419044   228.62421158
    23     0.0230        9.33015690    11.54146836    14.34717545    33.33537686    35.03402645    61.66412191   228.58568819
    24     0.0240        9.32863178    11.53961171    14.34486852    33.32959149    35.02797059    61.65360720   228.54545772
    25     0.0250        9.32704196    11.53767630    14.34246373    33.32356072    35.02165787    61.64264648   228.50352086
    26     0.0260        9.32538748    11.53566217    14.33996111    33.31728466    35.01508838    61.63123992   228.45987828
    27     0.0270        9.32366835    11.53356933    14.33736070    33.31076341    35.00826224    61.61938771   228.41453071
    28     0.0280        9.32188461    11.53139783    14.33466255    33.30399707    35.00117956    61.60709004   228.36747889
    29     0.0290        9.32003628    11.52914770    14.33186670    33.29698576    34.99384044    61.59434711   228.31872360
    30     0.0300        9.31812340    11.52681898    14.32897319    33.28972959    34.98624502    61.58115914   228.26826564
    31     0.0310        9.31614599    11.52441169    14.32598207    33.28222869    34.97839342    61.56752632   228.21610584
    32     0.0320        9.31410409    11.52192589    14.32289338    33.27448316    34.97028576    61.55344889   228.16224506
    33     0.0330        9.31199772    11.51936161    14.31970717    33.26649315    34.96192218    61.53892707   228.10668419
    34     0.0340        9.30982693    11.51671888    14.31642350    33.25825878    34.95330282    61.52396109   228.04942415
    35     0.0350        9.30759174    11.51399776    14.31304242    33.24978019    34.94442782    61.50855120   227.99046586
    36     0.0360        9.30529220    11.51119829    14.30956397    33.24105751    34.93529731    61.49269765   227.92981032
    37     0.0370        9.30292834    11.50832050    14.30598822    33.23209089    34.92591147    61.47640070   227.86745851
    38     0.0380        9.30050019    11.50536445    14.30231521    33.22288048    34.91627042    61.45966060   227.80341146
    39     0.0390        9.29800781    11.50233018    14.29854502    33.21342643    34.90637434    61.44247764   227.73767023
    40     0.0400        9.29545121    11.49921774    14.29467769    33.20372889    34.89622339    61.42485208   227.67023589
    41     0.0410        9.29283046    11.49602718    14.29071329    33.19378802    34.88581773    61.40678421   227.60110956
    42     0.0420        9.29014559    11.49275855    14.28665188    33.18360398    34.87515754    61.38827434   227.53029237
    43     0.0430        9.28739664    11.48941190    14.28249353    33.17317695    34.86424298    61.36932274   227.45778550
    44     0.0440        9.28458365    11.48598729    14.27823830    33.16250709    34.85307424    61.34992974   227.38359013
    45     0.0450        9.28170668    11.48248476    14.27388625    33.15159457    34.84165150    61.33009565   227.30770748
    46     0.0460        9.27876577    11.47890438    14.26943746    33.14043959    34.82997494    61.30982079   227.23013881
    47     0.0470        9.27576096    11.47524620    14.26489200    33.12904231    34.81804477    61.28910548   227.15088538
    48     0.0480        9.27269230    11.47151028    14.26024993    33.11740293    34.80586117    61.26795006   227.06994850
    49     0.0490        9.26955985    11.46769667    14.25551134    33.10552163    34.79342434    61.24635487   226.98732951
    50     0.0500        9.26636365    11.46380545    14.25067629    33.09339862    34.78073449    61.22432027   226.90302977
    51     0.0510        9.26310375    11.45983666    14.24574486    33.08103409    34.76779182    61.20184661   226.81705065
    52     0.0520        9.25978021    11.45579037    14.24071713    33.06842824    34.75459655    61.17893425   226.72939357
    53     0.0530        9.25639308    11.45166666    14.23559319    33.05558128    34.74114889    61.15558356   226.64005998
    54     0.0540        9.25294241    11.44746557    14.23037310    33.04249342    34.72744907    61.13179493   226.54905134
    55     0.0550        9.24942826    11.44318718    14.22505695    33.02916488    34.71349730    61.10756873   226.45636915
    56     0.0560        9.24585068    11.43883156    14.21964483    33.01559586    34.69929382    61.08290536   226.36201493
    57     0.0570        9.24220974    11.43439877    14.21413682    33.00178661    34.68483885    61.05780522   226.26599023
    58     0.0580        9.23850549    11.42988889    14.20853300    32.98773733    34.67013264    61.03226871   226.16829664
    59     0.0590        9.23473799    11.42530198    14.20283348    32.97344826    34.65517542    61.00629624   226.06893575
    60     0.0600        9.23090730    11.42063812    14.19703832    32.95891964    34.63996745    60.97988824   225.96790921
    61     0.0610        9.22701348    11.41589738    14.19114764    32.94415171    34.62450896    60.95304514   225.86521866
    62     0.0620        9.22305659    11.41107984    14.18516151    32.92914469    34.60880022    60.92576736   225.76086580
    63     0.0630        9.21903670    11.40618558    14.17908004    32.91389885    34.59284147    60.89805535   225.65485234
    64     0.0640        9.21495388    11.40121466    14.17290331    32.89841443    34.57663298    60.86990955   225.54718002
    65     0.0650        9.21080818    11.39616718    14.16663143    32.88269168    34.56017502    60.84133042   225.43785061
    66     0.0660        9.20659967    11.39104320    14.16026450    32.86673086    34.54346785    60.81231842   225.32686591
    67     0.0670        9.20232842    11.38584281    14.15380261    32.85053224    34.52651174    60.78287403   225.21422774
    68     0.0680        9.19799450    11.38056610    14.14724587    32.83409607    34.50930698    60.75299771   225.09993794
    69     0.0690        9.19359798    11.37521313    14.14059438    32.81742263    34.49185385    60.72268995   224.98399840
    70     0.0700        9.18913893    11.36978401    14.13384824    32.80051218    34.47415262    60.69195123   224.86641101
    71     0.0710        9.18461742    11.36427882    14.12700757    32.78336501    34.45620360    60.66078206   224.74717772
    72     0.0720        9.18003352    11.35869764    14.12007246    32.76598140    34.43800706    60.62918294   224.62630046
    73     0.0730        9.17538730    11.35304055    14.11304303    32.74836162    34.41956332    60.59715438   224.50378123
    74     0.0740        9.17067885    11.34730766    14.10591939    32.73050597    34.40087267    60.56469689   224.37962204
    75     0.0750        9.16590823    11.34149905    14.09870164    32.71241475    34.38193541    60.53181100   224.25382492
    76     0.0760        9.16107552    11.33561481    14.09138991    32.69408823    34.36275186    60.49849724   224.12639194
    77     0.0770        9.15618079    11.32965503    14.08398431    32.67552674    34.34332233    60.46475614   223.99732518
    78     0.0780        9.15122414    11.32361981    14.07648495    32.65673056    34.32364714    60.43058826   223.86662677
    79     0.0790        9.14620562    11.31750925    14.06889195    32.63770000    34.30372660    60.39599413   223.73429884
    80     0.0800        9.14112534    11.31132344    14.06120543    32.61843538    34.28356105    60.36097433   223.60034356
