Total of 228 directories 
     key    d_min cc_perfect cc_st_square    skew       e
1vjn/w1/  2.00   0.361  -1.000   0.012   1.040
1vjn/w2/  3.00   0.476   0.409   0.045   0.536
1vjn/w3/  3.00   0.672   0.774   0.155   0.140
1vjr/w1/  2.40   0.470   0.382   0.074   0.636
1vjr/w2/  2.50   0.317   0.181   0.030   0.795
1vjr/w3/  2.50   0.046   0.033  -0.009   0.978
1vjz/w1/  2.05   0.055  -1.000  -0.012   1.007
1vjz/w2/  2.50   0.391  -1.000   0.025   0.749
1vjz/w3/  2.50   0.407  -1.000   0.025   0.711
1vk4/w1/  1.91   0.635   0.537   0.160   0.495
1vk4/w2/  2.00   0.684   0.636   0.185   0.453
1vk4/w3/  2.00   0.684   0.636   0.185   0.453
1vkm/w1/  2.18   0.057   0.012  -0.000   0.938
1vkm/w2/  2.18   0.349   0.263  -0.000   0.781
1vkm/w3/  2.18   0.482   0.477   0.041   0.607
1vlm/w1/  2.20   0.031  -0.058   0.000   1.027
1vlm/w2/  2.20   0.195   0.043   0.007   0.914
1vlm/w3/  2.79   0.268   0.150   0.005   0.856
1vqr/w1/  2.25   0.417  -1.000   0.043   0.657
1xri/w1/  3.49   0.524  -1.000   0.028   0.576
1y7e/w1/  3.20   0.527  -1.000   0.026   0.751
1z82/w1/  2.00   0.284   0.192   0.014   0.923
1z82/w2/  2.00   0.425   0.444   0.080   0.655
1zy9/w1/  2.34   0.130  -0.066  -0.004   0.984
1zy9/w2/  2.37   0.152  -0.037   0.006   0.991
1zy9/w3/  2.99   0.217   0.059   0.012   0.969
1zyb/w1/  2.10   0.177   0.045  -0.008   0.979
1zyb/w2/  2.10   0.266   0.132   0.007   0.905
2a2o/w1/  2.16   0.492   0.261   0.011   0.664
2a2o/w2/  2.16   0.309   0.031  -0.002   0.874
2a3n/w1/  1.23   0.620   0.405   0.143   0.659
2a3n/w2/  1.34   0.784   0.665   0.192   0.515
2a3n/w3/  1.23   0.670   0.554   0.147   0.588
2a6b/w1/  1.70   0.082  -0.114   0.005   0.952
2a6b/w2/  2.11   0.110   0.031   0.016   0.960
2a6b/w3/  2.11   0.174   0.083   0.003   0.914
2a6b/w4/  2.11   0.108   0.031   0.007   0.989
2aj2/w1/  3.21   0.572  -1.000   0.038   0.351
2aml/w1/  1.50   0.404   0.189   0.031   0.818
2aml/w2/  1.50   0.625   0.512   0.138   0.616
2avn/w1/  2.35   0.306   0.153   0.006   0.791
2avn/w2/  2.44   0.210   0.239   0.035   0.745
2avn/w3/  2.44   0.213   0.215   0.019   0.760
2b8m/w1/  1.70   0.391   0.343   0.025   0.812
2b8m/w2/  1.80   0.214   0.101  -0.002   0.961
2b8m/w3/  1.80   0.053   0.023   0.015   1.016
2etd/w1/  2.28   0.066  -1.000  -0.029   0.919
2etd/w2/  2.28   0.340  -1.000   0.044   0.943
2etd/w3/  2.29   0.404  -1.000   0.045   0.856
2etj/w1/  1.74   0.371   0.282   0.026   0.688
2etj/w2/  1.74   0.060  -0.119   0.005   0.997
2ets/w1/  2.25   0.426   0.353   0.047   0.589
2etv/w1/  1.70   0.178   0.054   0.003   0.973
2etv/w2/  1.70   0.220   0.090   0.012   0.949
2evr/w1/  1.60   0.045  -0.037   0.001   0.844
2evr/w2/  1.60   0.318   0.150   0.015   0.965
2f4p/w1/  1.90   0.026  -0.056  -0.009   0.922
2f4p/w2/  1.90   0.250   0.071  -0.005   0.822
2fea/w1/  2.00   0.161   0.019   0.019   0.998
2fea/w2/  2.00   0.352   0.218   0.043   0.801
2ffj/w1/  2.45   0.296   0.139   0.016   0.817
2ffj/w2/  2.66   0.231   0.117   0.008   0.803
2ffj/w3/  2.45   0.192   0.036  -0.003   0.940
2fg0/w1/  1.79   0.041  -0.043  -0.009   1.005
2fg0/w2/  1.79   0.236   0.106   0.016   0.987
2fg9/w1/  2.20   0.521   0.478   0.017   0.539
2fg9/w2/  2.20   0.633   0.707   0.027   0.314
2fg9/w3/  2.20   0.175   0.163   0.022   0.843
2fna/w1/  2.00   0.251   0.154   0.002   0.972
2fna/w2/  2.00   0.175   0.075   0.013   1.009
2fqp/w1/  1.80   0.141   0.050   0.022   0.930
2fqp/w2/  1.80   0.342   0.178   0.038   0.799
2fur/w1/  1.80   0.288   0.088  -0.006   0.940
2fur/w2/  1.80   0.049  -0.090  -0.005   1.013
2fur/w3/  1.90   0.326   0.194   0.025   0.862
2fzt/w1/  2.05   0.280  -1.000   0.017   0.952
2fzt/w2/  2.05   0.045  -1.000  -0.019   0.896
2g0t/w1/  2.67   0.260   0.139   0.002   0.835
2g0t/w2/  2.82   0.103  -0.010   0.031   0.926
2g0t/w3/  2.74   0.139   0.062   0.004   0.870
2g42/w1/  2.28   0.302   0.333   0.046   0.803
2gc9/w1/  1.70   0.236   0.087   0.025   0.987
2gc9/w2/  1.70   0.255   0.129   0.003   0.925
2nlv/w1/  1.30   0.071  -0.032  -0.010   0.996
