Total of 228 directories 
     key    d_min fraction_found  Signal
1vjn/w1/  2.00   0.500  14.990 
1vjn/w1/  2.50   0.500  13.660 
1vjn/w1/  3.00   0.875  11.570 
1vjn/w1/  3.50   0.500   9.290 
1vjn/w1/  4.00   0.500   7.580 
1vjn/w1/  4.50   0.375   6.280 
1vjn/w1/  5.00   0.250   4.990 
1vjn/w1/  5.50   0.250   4.170 
1vjn/w1/  6.00   0.375   4.010 
1vjn/w2/  3.00   1.000  12.670 
1vjn/w2/  3.50   0.875  11.000 
1vjn/w2/  4.00   1.000  10.180 
1vjn/w2/  4.50   1.000   8.880 
1vjn/w2/  5.00   1.000   7.750 
1vjn/w2/  5.50   0.750   6.940 
1vjn/w2/  6.00   0.875   6.330 
1vjn/w3/  3.00   1.000  17.370 
1vjn/w3/  3.50   1.000  14.630 
1vjn/w3/  4.00   1.000  12.780 
1vjn/w3/  4.50   1.000  10.880 
1vjn/w3/  5.00   1.000   9.120 
1vjn/w3/  5.50   1.000   7.910 
1vjn/w3/  6.00   1.000   7.140 
1vjr/w1/  2.40   1.000  23.260 
1vjr/w1/  3.00   1.000  24.690 
1vjr/w1/  3.50   1.000  21.690 
1vjr/w1/  4.00   1.000  18.770 
1vjr/w1/  4.50   1.000  15.710 
1vjr/w1/  5.00   1.000  13.260 
1vjr/w1/  5.50   1.000  11.430 
1vjr/w1/  6.00   1.000   9.920 
1vjr/w2/  2.50   0.000  15.740 
1vjr/w2/  3.00   0.167  17.820 
1vjr/w2/  3.50   0.000  16.980 
1vjr/w2/  4.00   0.000  15.500 
1vjr/w2/  4.50   0.000  13.530 
1vjr/w2/  5.00   0.000  11.830 
1vjr/w2/  5.50   0.000  10.460 
1vjr/w2/  6.00   0.000   9.210 
1vjr/w3/  2.50   0.000   2.210 
1vjr/w3/  3.00   0.167   3.360 
1vjr/w3/  3.50   0.000   3.720 
1vjr/w3/  4.00   0.333   3.720 
1vjr/w3/  4.50   0.000   3.640 
1vjr/w3/  5.00   0.000   3.230 
1vjr/w3/  5.50   0.000   3.190 
1vjr/w3/  6.00   0.000   3.000 
1vjz/w1/  2.05   0.000   3.240 
1vjz/w1/  2.50   0.000   3.400 
1vjz/w1/  3.00   0.000   3.740 
1vjz/w1/  3.50   0.200   4.240 
1vjz/w1/  4.00   0.000   3.900 
1vjz/w1/  4.50   0.000   3.330 
1vjz/w1/  5.00   0.000   2.740 
1vjz/w1/  5.50   0.000   2.360 
1vjz/w1/  6.00   0.000   2.400 
1vjz/w2/  2.50   1.000  17.540 
1vjz/w2/  3.00   0.200  18.110 
1vjz/w2/  3.50   1.000  18.420 
1vjz/w2/  4.00   1.000  16.700 
1vjz/w2/  4.50   1.000  14.050 
1vjz/w2/  5.00   1.000  11.820 
1vjz/w2/  5.50   1.000  10.410 
1vjz/w2/  6.00   1.000   9.640 
1vjz/w3/  2.50   1.000  16.850 
1vjz/w3/  2.50   1.000  16.840 
1vjz/w3/  3.00   1.000  16.770 
1vjz/w3/  3.50   1.000  16.770 
1vjz/w3/  4.00   1.000  15.130 
1vjz/w3/  4.50   1.000  12.790 
1vjz/w3/  5.00   1.000  10.510 
1vjz/w3/  5.50   1.000   8.980 
1vjz/w3/  6.00   1.000   8.420 
1vk4/w1/  1.91   1.000  29.220 
1vk4/w1/  2.50   1.000  26.740 
1vk4/w1/  3.00   1.000  20.200 
1vk4/w1/  3.50   1.000  16.130 
1vk4/w1/  4.00   1.000  13.000 
1vk4/w1/  4.50   1.000  10.520 
1vk4/w1/  5.00   1.000   9.330 
1vk4/w1/  5.50   0.167   7.680 
1vk4/w1/  6.00   0.000   7.040 
1vk4/w2/  2.00   1.000  29.610 
1vk4/w2/  2.50   1.000  27.410 
1vk4/w2/  3.00   1.000  20.790 
1vk4/w2/  3.50   1.000  16.660 
1vk4/w2/  4.00   1.000  13.270 
1vk4/w2/  4.50   1.000  10.690 
1vk4/w2/  5.00   1.000   9.330 
1vk4/w2/  5.50   0.167   7.730 
1vk4/w2/  6.00   0.167   7.100 
1vk4/w3/  2.00   1.000  29.610 
1vk4/w3/  2.50   1.000  27.410 
1vk4/w3/  3.00   1.000  20.790 
1vk4/w3/  3.50   1.000  16.660 
1vk4/w3/  4.00   1.000  13.270 
1vk4/w3/  4.50   1.000  10.690 
1vk4/w3/  5.00   1.000   9.330 
1vk4/w3/  5.50   0.167   7.730 
1vk4/w3/  6.00   0.167   7.100 
1vkm/w1/  2.18   0.000   1.460 
1vkm/w1/  2.50   0.014   1.780 
1vkm/w1/  3.00   0.014   2.250 
1vkm/w1/  3.50   0.014   2.490 
1vkm/w1/  4.00   0.014   2.380 
1vkm/w1/  4.50   0.014   2.220 
1vkm/w1/  5.00   0.014   2.150 
1vkm/w1/  5.50   0.014   2.130 
1vkm/w1/  6.00   0.014   2.130 
1vkm/w2/  2.18   0.000   8.710 
1vkm/w2/  2.50   0.014   9.530 
1vkm/w2/  3.00   0.000   9.700 
1vkm/w2/  3.50   0.014   8.710 
1vkm/w2/  4.00   0.014   7.750 
1vkm/w2/  4.50   0.014   6.860 
1vkm/w2/  5.00   0.000   6.060 
1vkm/w2/  5.50   0.014   5.380 
1vkm/w2/  6.00   0.014   4.940 
1vkm/w3/  2.18   0.014  11.540 
1vkm/w3/  2.50   0.919  11.960 
1vkm/w3/  3.00   0.878  11.140 
1vkm/w3/  3.50   0.014   9.570 
1vkm/w3/  4.00   0.027   8.280 
1vkm/w3/  4.50   0.000   7.170 
1vkm/w3/  5.00   0.014   6.240 
1vkm/w3/  5.50   0.014   5.480 
1vkm/w3/  6.00   0.000   4.990 
1vlm/w1/  2.20   0.000   1.240 
1vlm/w1/  2.50   0.125   1.380 
1vlm/w1/  3.00   0.125   1.530 
1vlm/w1/  3.50   0.125   2.270 
1vlm/w1/  4.00   0.000   2.370 
1vlm/w1/  4.50   0.125   2.460 
1vlm/w1/  5.00   0.000   2.230 
1vlm/w1/  5.50   0.125   1.880 
1vlm/w1/  6.00   0.125   1.840 
1vlm/w2/  2.20   0.000   7.880 
1vlm/w2/  2.50   1.000   8.650 
1vlm/w2/  3.00   0.000   9.400 
1vlm/w2/  3.50   1.000   9.900 
1vlm/w2/  4.00   0.500   9.680 
1vlm/w2/  4.50   0.750   8.940 
1vlm/w2/  5.00   0.625   8.270 
1vlm/w2/  5.50   0.250   7.260 
1vlm/w2/  6.00   0.250   6.610 
1vlm/w3/  2.79   1.000   7.630 
1vlm/w3/  3.00   0.125   8.170 
1vlm/w3/  3.50   0.125   9.420 
1vlm/w3/  4.00   0.000   9.750 
1vlm/w3/  4.50   0.000   9.130 
1vlm/w3/  5.00   0.000   8.260 
1vlm/w3/  5.50   0.000   7.140 
1vlm/w3/  6.00   0.250   6.640 
1vqr/w1/  2.25   0.952  14.240 
1vqr/w1/  3.00   0.952  13.580 
1vqr/w1/  3.50   0.905  12.470 
1vqr/w1/  4.00   0.952  10.910 
1vqr/w1/  4.50   0.952  10.010 
1vqr/w1/  5.00   0.952   8.640 
1vqr/w1/  5.50   0.048   7.590 
1vqr/w1/  6.00   0.048   6.700 
1xri/w1/  3.49   1.000  16.240 
1xri/w1/  4.00   1.000  14.810 
1xri/w1/  4.50   0.833  13.440 
1xri/w1/  5.00   1.000  11.660 
1xri/w1/  5.50   1.000  10.670 
1xri/w1/  6.00   0.833   9.570 
1y7e/w1/  3.20   1.000  15.970 
1y7e/w1/  3.50   1.000  15.740 
1y7e/w1/  4.00   1.000  13.860 
1y7e/w1/  4.50   1.000  11.740 
1y7e/w1/  5.00   1.000  10.510 
1y7e/w1/  5.50   1.000   9.070 
1y7e/w1/  6.00   0.000   8.160 
1z82/w1/  2.00   0.045   8.940 
1z82/w1/  2.50   0.136  10.700 
1z82/w1/  3.00   0.909  10.620 
1z82/w1/  3.50   0.864   9.400 
1z82/w1/  4.00   0.045   8.020 
1z82/w1/  4.50   0.091   6.880 
1z82/w1/  5.00   0.136   6.080 
1z82/w1/  5.50   0.136   5.540 
1z82/w1/  6.00   0.136   4.950 
1z82/w2/  2.00   1.000  12.780 
1z82/w2/  2.50   1.000  13.130 
1z82/w2/  3.00   0.955  11.530 
1z82/w2/  3.50   0.955   9.510 
1z82/w2/  4.00   0.909   7.760 
1z82/w2/  4.50   0.909   6.390 
1z82/w2/  5.00   0.318   5.540 
1z82/w2/  5.50   0.182   4.850 
1z82/w2/  6.00   0.045   4.160 
1zy9/w1/  2.34   0.111   6.300 
1zy9/w1/  3.00   0.000   7.950 
1zy9/w1/  3.50   0.000   7.870 
1zy9/w1/  4.00   0.000   7.810 
1zy9/w1/  4.50   0.111   7.520 
1zy9/w1/  5.00   0.111   6.810 
1zy9/w1/  5.50   0.000   6.610 
1zy9/w1/  6.00   0.111   5.950 
1zy9/w2/  2.37   0.111   7.660 
1zy9/w2/  3.00   0.000   8.990 
1zy9/w2/  3.50   0.000   9.580 
1zy9/w2/  4.00   0.000   9.360 
1zy9/w2/  4.50   0.000   9.050 
1zy9/w2/  5.00   0.000   8.150 
