# 2014-11-08 TT
# Solved is percentage of datasets where substructure could be
#  found with default hyss
# Signal is signal in dataset
#  PredSignal is signal predicted from information about the dataset, no data
#  BayesEstSignal is signal est including the data using bayesian estimator
Signal  %Solved   N  PredSignal  %Solved  N   BayesEstSignal  %Solved  N
   1.0       2    47        1.0       1    69        1.0       0     6 
   3.0       0   123        3.0       0    99        3.0       8   108 
   5.0       7   187        5.0      15   226        5.0       7   179 
   7.0      33   244        7.0      49   290        7.0      28   240 
   9.0      68   248        9.0      76   208        9.0      57   227 
  11.0      83   207       11.0      80   177       11.0      72   206 
  13.0      93   151       13.0      87   145       13.0      82   147 
  15.0      98    80       15.0      87    95       15.0      93   108 
  17.0      97    68       17.0      89    74       17.0      97    71 
  19.0      97    34       19.0      91    53       19.0      97    60 
  21.0     100    44       21.0     100    25       21.0     100    43 
  23.0     100    33       23.0      92    26       23.0     100    43 
  25.0      96    24       25.0     100    27       25.0     100    21 
  27.0     100    24       27.0      90    10       27.0     100    18 
  29.0     100    21       29.0     100    16       29.0     100    22 
  31.0     100     9       31.0     100     7       31.0     100    14 
  33.0     100     4       33.0     100     7       33.0     100    19 
  35.0     100     8       35.0     100     6       35.0     100     6 
  37.0     100    14       37.0      90    10       37.0     100    32 
