Total of 187 directories 
     key    d_min   signal pred_signal
1vjn/w1/  2.00  14.990  10.900 
1vjn/w1/  2.50  13.660   9.600 
1vjn/w1/  3.00  11.570   8.200 
1vjn/w1/  3.50   9.290   6.800 
1vjn/w1/  4.00   7.580   5.500 
1vjn/w1/  4.50   6.280   4.600 
1vjn/w1/  5.00   4.990   3.900 
1vjn/w1/  5.50   4.170   3.400 
1vjn/w1/  6.00   4.010   2.900 
1vjn/w2/  3.00  12.670  13.400 
1vjn/w2/  3.50  11.000  11.200 
1vjn/w2/  4.00  10.180   9.400 
1vjn/w2/  4.50   8.880   7.900 
1vjn/w2/  5.00   7.750   6.800 
1vjn/w2/  5.50   6.940   5.900 
1vjn/w2/  6.00   6.330   5.200 
1vjn/w3/  3.00  17.370  15.300 
1vjn/w3/  3.50  14.630  12.700 
1vjn/w3/  4.00  12.780  10.500 
1vjn/w3/  4.50  10.880   8.900 
1vjn/w3/  5.00   9.120   7.600 
1vjn/w3/  5.50   7.910   6.600 
1vjn/w3/  6.00   7.140   5.800 
1vjr/w1/  2.40  23.260  15.500 
1vjr/w1/  3.00  24.690  14.100 
1vjr/w1/  3.50  21.690  12.200 
1vjr/w1/  4.00  18.770  10.300 
1vjr/w1/  4.50  15.710   8.700 
1vjr/w1/  5.00  13.260   7.500 
1vjr/w1/  5.50  11.430   6.500 
1vjr/w1/  6.00   9.920   5.800 
1vjr/w2/  2.50  15.740  -1.000 
1vjr/w2/  3.00  17.820  -1.000 
1vjr/w2/  3.50  16.980  -1.000 
1vjr/w2/  4.00  15.500  -1.000 
1vjr/w2/  4.50  13.530  -1.000 
1vjr/w2/  5.00  11.830  -1.000 
1vjr/w2/  5.50  10.460  -1.000 
1vjr/w2/  6.00   9.210  -1.000 
1vjr/w3/  2.50   2.210  -1.000 
1vjr/w3/  3.00   3.360  -1.000 
1vjr/w3/  3.50   3.720  -1.000 
1vjr/w3/  4.00   3.720  -1.000 
1vjr/w3/  4.50   3.640  -1.000 
1vjr/w3/  5.00   3.230  -1.000 
1vjr/w3/  5.50   3.190  -1.000 
1vjr/w3/  6.00   3.000  -1.000 
1vjz/w1/  2.05   3.240   2.300 
1vjz/w1/  2.50   3.400   2.300 
1vjz/w1/  3.00   3.740   2.200 
