     i   energy    dspacing  intensity  integr     widthenergy  backgr   chisq       xpos      ypos      qx        qy        qz
     0   6.49638   0.13564    65535.00  1268976.50 0.01      189.66 67182880.00000   530.339   539.106   0.02915   5.25183   5.17400
     1  10.80778   0.08576    65535.00  1113345.51 0.01       19.33 16719476.00000   822.804   602.175  -3.63845   7.93886   7.72645
     2  10.98198   0.10434    65535.00   898653.57 0.01       33.51 60756208.00000   679.486   820.393  -1.83812   5.30486   7.76796
     3  11.01625   0.10446    65535.00  1344940.05 0.00      583.53417314304.00000   389.926   826.987   1.84521   5.23376   7.80022
     4  10.86246   0.08573    65535.00  1419822.41 0.01       21.52 11717616.00000   241.560   614.293   3.73709   7.82042   7.80631
     5   8.09892   0.08584    65535.00  2249092.91 0.00       69.84   503014.31250   520.517    74.771   0.12697  10.45247   5.14229
     6  13.82696   0.07596    65535.00   394191.70 0.01        9.35  2165456.25000   642.305   731.551  -1.82707   7.92254  10.35434
     7  13.86132   0.07597    65535.00   448410.17 0.01       22.61 10577002.00000   424.457   736.208   1.86326   7.85881  10.39427
     8  10.35448   0.07601    65535.00   971074.12 0.00       14.36   164613.78125   382.221   376.087   1.92897  10.43835   7.77147
     9  10.33509   0.07602    65535.00  1708738.90 0.00       30.14   179465.43750   672.814   369.232  -1.74927  10.49849   7.73109
    10  11.65618   0.06397    65535.00  1045895.65 0.00       54.52  1924295.25000   816.995   243.724  -3.54667  13.13769   7.69551
    11  11.69092   0.06394    65535.00   993707.09 0.00       20.57   609357.06250   234.352   257.724   3.82303  13.02299   7.76871
    12  11.93522   0.07065    65535.00   712211.36 0.00       18.93   196787.34375   967.857   465.670  -5.43928  10.56803   7.68716
    13   7.30518   0.10449    65535.00  1125001.68 0.00       22.57   729805.81250   307.981   313.224   1.91850   7.81576   5.17885
    14  12.00273   0.07064    65535.00   519373.96 0.00       14.42   479007.15625    95.048   485.451   5.62442  10.38428   7.80625
    15   7.28601   0.10454    65535.00  1253288.74 0.00       38.78   710930.75000   745.265   303.044  -1.76854   7.87134   5.13956
    16  16.19518   0.06063    32003.00    95201.12 0.00       68.84   333702.25000   970.206   685.121  -7.31113  10.62971  10.27750
    17  15.95933   0.07062    18876.00   108175.75 0.01       13.90   127099.75781   861.496   830.087  -5.50537   7.98279  10.31846
    18  16.07779   0.07064    24626.00    71127.14 0.01        8.18   362235.56250   210.117   843.547   5.55284   7.79494  10.43225
    19  13.46758   0.05954    65535.00   329859.95 0.00       31.90  2049731.62500   636.700   405.558  -1.72928  13.13678  10.32185
    20  14.05996   0.05320    21199.00   127495.58 0.01       44.23   383261.71875   525.501   281.320   0.14999  15.71025  10.32155
    21  13.48744   0.05954    65535.00   512263.93 0.00       37.51  4962342.50000   418.821   410.641   1.94893  13.07533  10.36072
    22  12.28187   0.05688    65535.00   526100.42 0.00       21.58    33909.32813   667.510    79.156  -1.66063  15.71941   7.69651
    23  16.31820   0.06063    19857.00    69427.80 0.01       14.35   182954.51563    99.774   703.445   7.44249  10.37892  10.43540
    24  12.29664   0.05688    65535.00   792679.12 0.00       17.81    19157.83398   375.896    87.081   2.02313  15.65890   7.73392
    25  14.74245   0.05686    65535.00   317354.86 0.00       21.85   241045.65625   857.462   462.575  -5.42143  13.20045  10.27960
    26  14.80816   0.05686    32674.00   120623.25 0.00       13.51   115432.90625   202.940   477.610   5.63898  13.01292  10.39821
    27  16.87586   0.05954    31993.00   109956.74 0.01       15.54    21269.72461   619.666   685.613  -1.80890  10.54568  12.94497
    28  16.90528   0.05955    25718.00   150373.47 0.00       26.68   305676.46875   445.382   689.353   1.87933  10.48117  12.98309
    29  16.93291   0.05318    22477.00   129693.40 0.01       17.70   253300.50000   356.455   568.543   3.76578  13.06360  12.98828
    30  16.88272   0.05318    15732.00    84846.99 0.00       18.49    43792.95703   705.456   560.928  -3.61088  13.18725  12.90727
    31  16.26689   0.04951    13615.00    59397.85 0.01       13.93    17928.44141    93.341   395.470   7.52798  15.58947  10.40167
    32  15.16517   0.04739    20179.00    54731.92 0.00       20.31   155757.43750   632.990   176.808  -1.64748  18.34882  10.28537
    33  15.18270   0.04739    15657.00   101077.35 0.00       12.99     9689.93164   414.430   182.649   2.03607  18.28867  10.32673
    34  16.18674   0.04951    12116.00    60420.64 0.00       20.81    34621.74609   966.155   374.481  -7.21993  15.83996  10.24492
    35  19.63044   0.06392     4643.00    16342.39 0.01        9.95    25264.61133   362.449   915.298   3.68018   7.85004  13.02213
    36  18.57045   0.05686     7365.00    28727.49 0.01        9.54    26780.21680   273.069   754.454   5.57012  10.42471  13.02309
    37  19.53184   0.06393     5122.00    22374.53 0.01       13.26    34038.18359   709.838   908.092  -3.69621   7.97258  12.94115
    38  18.46839   0.05685     6119.00    34321.30 0.01       10.68    25985.74609   795.405   743.539  -5.49754  10.61344  12.90569
    39  16.65812   0.04890    15699.00    74763.35 0.01        8.09    73563.73438   440.672   433.324   1.97185  15.70182  12.94968
    40  16.12773   0.04600     4752.00    34711.87 0.01       18.69    27278.78320   197.774   232.744   5.72846  18.22844  10.36467
    41  16.07672   0.04600     8899.00    35332.24 0.00       21.77    34438.66016   853.161   215.636  -5.32763  18.41667  10.24904
    42  17.64294   0.04398    10716.00    46012.74 0.00        9.16    19822.26953   352.210   349.040   3.85479  18.28178  12.95389
    43  17.60560   0.04399    12873.00    45857.14 0.00       11.50    28185.59180   701.706   340.606  -3.51798  18.40454  12.87489
    44  17.76489   0.04738     6292.00    25801.84 0.01       16.02    24807.94336   267.689   478.543   5.65936  15.64365  12.98880
    45  17.69927   0.04738     5302.00    21508.66 0.00       11.00    16244.84375   791.630   466.660  -5.40717  15.82876  12.87138
    46  16.34938   0.08576     2894.00     6101.70 0.01       25.31    21121.01953   536.653  1004.886  -0.01804   5.28680  10.39352
