h	k	l	energy(keV)	theta(deg)	
0	0	4	6.4986	44.63567	
1	1	5	7.3050	54.28599	
-1	1	7	10.3303	52.10173	
1	1	7	10.3508	51.95621	
-2	0	6	10.8023	41.93643	
2	0	6	10.8597	41.66521	
-1	-1	5	10.9796	32.69767	
1	-1	5	11.0234	32.55157	
-2	2	8	11.6492	56.24767	
2	2	8	11.6861	55.97739	
-3	1	7	11.9272	47.31642	
3	1	7	11.9983	46.94935	
-1	3	9	12.2729	62.52735	
1	3	9	12.2891	62.38242	
-1	1	9	13.4566	50.60569	
1	1	9	13.4780	50.49524	
-1	-1	7	13.8206	36.14452	
1	-1	7	13.8573	36.03373	
0	2	10	14.0503	55.94516	
-3	1	9	14.7303	47.66467	
3	1	9	14.8006	47.36696	
-1	3	11	15.1519	59.56952	
1	3	11	15.1691	59.45941	
-3	-1	7	15.9462	33.35553	
-3	3	11	16.0591	56.93062	
3	-1	7	16.0737	33.05708	
3	3	11	16.1137	56.63364	
-4	2	10	16.1692	50.65393	
-4	0	8	16.1821	39.11776	
0	4	12	16.1947	63.06974	
4	2	10	16.2548	50.28713	
4	0	8	16.3112	38.75018	
0	-2	6	16.3508	26.20116	
-1	1	11	16.6239	49.59869	
1	1	11	16.6459	49.50983	
-1	-1	9	16.8658	38.06735	
-2	0	10	16.8695	43.63379	
1	-1	9	16.8994	37.97826	
2	0	10	16.9231	43.46079	
-2	2	12	17.5869	53.14858	
2	2	12	17.6268	52.97598	
-3	1	11	17.6817	47.63606	
3	1	11	17.7520	47.38794	
-1	3	13	18.1233	57.42215	
1	3	13	18.1412	57.33350	
-3	-1	9	18.4548	36.15921	
3	-1	9	18.5652	35.91056	
-3	3	13	18.9145	55.61433	
3	3	13	18.9708	55.36675	
-2	4	14	19.4234	59.73480	
2	4	14	19.4576	59.56261	
-2	-2	8	19.5271	29.73645	
2	-2	8	19.6311	29.56305	
-5	1	11	19.8152	44.30124	
1	1	13	19.8370	48.80423	
5	1	11	19.9466	43.93396	
-1	-1	11	19.9927	39.28689	
1	-1	11	20.0245	39.21245	
0	2	14	20.2756	52.76548	
5	3	13	20.6144	52.08583	
-3	1	13	20.7180	47.48705	
3	1	13	20.7886	47.27532	
0	-2	10	21.1880	33.32603	
-3	-1	11	21.2593	37.91849	
3	-1	11	21.3610	37.70636	
