198.59	 198.04	  310.42    98.22   629.25   630.01   712.11   499.91
198.40	 198.13	  310.55    97.68   626.40   626.59   710.49   498.15
200.58	 199.79	  314.91   103.43   631.36   633.34   714.25   501.44
198.89	 198.18	  310.75    98.13   630.00   629.41   710.00   499.99
      	       	                                                     
308.00	  95.24	  626.85   627.63   517.84   730.54   200.79   200.22
308.35	  95.09	  626.15   626.58   513.07   725.86   200.67   200.57
309.62	  97.24	  622.35   625.76   513.46   725.96   199.78   199.76
307.80	  95.08	  628.38   628.43   515.00   730.70   200.00   202.96

  0.37	   0.15	    0.52     0.62     0.39     0.55     0.24     0.18
  2.16	   1.08	    4.14     3.51     4.61     5.68     3.35     2.63
  0.28	   0.20	    0.50     0.65     0.39     0.56     0.30     0.27
  0.37	   0.30	    0.47     0.25     0.00     1.06     0.00     0.85
