199.14   198.05	  310.67    98.22   629.71   629.68   711.87   499.32
198.52   198.08	  311.50    98.69   627.27   627.27   712.35   499.77
198.32   198.04	  310.53    97.43   626.68   628.45   710.86   498.01
198.26   198.04	  308.70    96.42   627.66   628.04   711.12   498.25

308.25    95.11	  625.60   625.70   515.02   727.37   198.53   199.30
307.18    95.08	  622.98   623.51   514.99   727.35   199.27   198.94
307.68    95.09	  623.95   625.29   512.32   724.63   198.04   200.35
307.39    95.12	  627.57   626.65   518.03   730.95   200.02   199.70

  0.31     0.12	    0.05     0.12     0.28     0.24     0.40     0.27
  0.45     0.36	    0.62     0.33     1.02     0.92     1.30     1.07
  0.23     0.22	    0.11     0.15     0.24     0.20     0.60     0.42
  0.25     0.21	    0.12     0.10     0.35     0.28     0.66     0.40
