key	dmin	B	dmin_resol
1hf8/w1/	2	39.06	2
1vjn/w1/	2	30.27	2
1vjn/w2/	3	32.27	3
1vjn/w3/	3	34.11	3
1vjr/w1/	2.4	42.02	2.4
1vjr/w2/	2.5	43.98	2.5
1vjr/w3/	2.5	43.04	2.5
1vjz/w1/	2.05	26.74	2.05
1vjz/w2/	2.5	32.77	2.5
1vjz/w3/	2.5	33.69	2.5
1vk4/w1/	1.91	18.2	1.91
1vk4/w2/	2	19.13	2
1vk4/w3/	2	19.13	2
1vkm/w1/	2.18	31.24	2.18
1vkm/w2/	2.18	31.29	2.18
1vkm/w3/	2.18	31.85	2.18
1vlm/w1/	2.2	28.17	2.2
1vlm/w2/	2.19	27.5	2.19
1vlm/w3/	2.79	40.52	2.79
1vqr/w1/	2.25	39.56	2.25
1z82/w1/	2	23.69	2
1z82/w2/	1.99	25.39	1.99
1zy9/w1/	2.34	28.1	2.34
1zy9/w2/	2.36	27.92	2.36
1zy9/w3/	2.99	32.12	2.99
1zyb/w1/	2.1	36.08	2.1
1zyb/w2/	2.1	36.23	2.1
2a2o/w1/	2.16	36.5	2.16
2a2o/w2/	2.1	36.87	2.1
2a3n/w1/	1.23	8.8	1.23
2a3n/w2/	1.34	9.9	1.34
2a3n/w3/	1.23	10.6	1.23
2a6b/w1/	1.7	21.15	1.7
2a6b/w2/	2.11	12.84	2.11
2a6b/w3/	2.11	13.26	2.11
2a6b/w4/	2.11	13.68	2.11
2a6b/w5/	2.11	16.01	2.11
2ahy/w1/	3.19	112.6	3.19
2aml/w1/	1.5	10.73	1.5
2aml/w2/	1.5	11.45	1.5
2avn/w1/	2.35	39.32	2.35
2avn/w2/	2.44	46.38	2.44
2avn/w3/	2.44	43.93	2.44
2b78/w1/	1.96	23.98	1.96
2b8m/w1/	1.7	14.01	1.7
2b8m/w2/	1.8	18.65	1.8
2b8m/w3/	1.8	19.08	1.8
2etd/w1/	2.28	33.06	2.28
2etd/w2/	2.28	31.85	2.28
2etd/w3/	2.29	37.71	2.29
2etj/w1/	1.74	19.38	1.74
2etj/w2/	1.7	19.73	1.7
2ets/w1/	2.25	38.61	2.25
2etv/w1/	1.7	19.9	1.7
2etv/w2/	1.7	20.5	1.7
2evr/w1/	1.6	19.67	1.6
2evr/w2/	1.6	19.96	1.6
2f4p/w1/	1.9	23.53	1.9
2f4p/w2/	1.9	23.42	1.9
2fdn/w1/	0.94	5.66	0.94
2fea/w1/	2	28.58	2
2fea/w2/	2	27.57	2
2ffj/w1/	2.45	44.53	2.45
2ffj/w2/	2.66	53.71	2.66
2ffj/w3/	2.45	43.67	2.45
2fg0/w1/	1.79	23.9	1.79
2fg0/w2/	1.79	23.43	1.79
2fg9/w1/	2.2	48.02	2.2
2fg9/w2/	2.2	47.42	2.2
2fg9/w3/	2.2	48.86	2.2
2fna/w1/	2	31.25	2
2fna/w2/	2	30.88	2
2fqp/w1/	1.8	11.28	1.8
2fqp/w2/	1.8	11.31	1.8
2fur/w1/	1.8	25.27	1.8
2fur/w2/	1.8	25.74	1.8
2fur/w3/	1.9	24.7	1.9
2fzt/w1/	2.05	20.63	2.05
2fzt/w2/	2	21.13	2
2g0t/w1/	2.67	36.93	2.67
2g0t/w2/	2.82	33.51	2.82
2g0t/w3/	2.74	35.52	2.74
2g42/w1/	2.28	35.52	2.28
2gc9/w1/	1.7	12.5	1.7
2gc9/w2/	1.7	14.49	1.7
2hba/w1/	1.25	13.99	1.25
2nlv/w1/	1.3	10.36	1.3
2nlv/w2/	1.3	10.32	1.3
2nlv/w3/	1.33	11.76	1.33
2nuj/w1/	2	25.11	2
2nwv/w1/	1.85	23.72	1.85
2nwv/w2/	1.9	24.07	1.9
2nwv/w3/	1.95	22.82	1.95
2o08/w1/	1.9	25.15	1.9
2o08/w2/	2.46	40.34	2.46
2o08/w3/	2.47	40.17	2.47
2o08/w4/	2.46	41.04	2.46
2o0h/w1/	1.85	34.75	1.85
2o1q/w1/	1.5	17.04	1.5
2o1q/w2/	2	22.5	2
2o1q/w3/	2	24.93	2
2o1q/w4/	2	22.83	2
2o2x/w1/	1.5	11.24	1.5
2o2x/w2/	1.5	11.26	1.5
2o2z/w1/	2.6	34.76	2.6
2o3l/w1/	2.05	31.44	2.05
2o3l/w2/	2	31.16	2
2o3l/w3/	2	31.15	2
2o62/w1/	1.75	16.69	1.75
2o7t/w1/	2.1	35.54	2.1
2o7t/w2/	2.1	33.57	2.1
2o8q/w1/	1.55	19.82	1.55
2o8q/w2/	2.48	43.17	2.48
2o8q/w3/	2.48	42.74	2.48
2o8q/w4/	2.48	42.45	2.48
2obp/w1/	1.7	23.95	1.7
2obp/w2/	1.7	24.07	1.7
2obp/w3/	1.7	23.93	1.7
2oc5/w1/	1.68	23.92	1.68
2oc5/w2/	1.68	24.18	1.68
2oc5/w3/	1.68	23.42	1.68
2od5/w1/	1.79	24.79	1.79
2od5/w2/	1.85	25.19	1.85
2od6/w1/	1.85	29.81	1.85
2od6/w2/	1.9	32.1	1.9
2od6/w3/	1.9	31.83	1.9
2oh3/w1/	2	31.61	2
2oh3/w2/	2	31.7	2
2okc/w1/	2.2	38.09	2.2
2okc/w2/	2.21	38.15	2.21
2okc/w3/	2.21	38.13	2.21
2okf/w1/	1.6	17.46	1.6
2okf/w2/	1.6	17.64	1.6
2okf/w3/	1.6	17.93	1.6
2ooj/w1/	1.84	24.65	1.84
2opk/w1/	2.1	23.68	2.1
2opk/w2/	2.1	24.24	2.1
2opk/w3/	2.1	24.07	2.1
2osd/w1/	2.3	51.09	2.3
2osd/w2/	2.3	51.54	2.3
2osd/w3/	2.3	51.37	2.3
2otm/w1/	1.85	18.48	1.85
2otm/w2/	1.85	19.12	1.85
2otm/w3/	1.9	21.51	1.9
2ozg/w1/	2	30.21	2
2ozg/w2/	2.05	30.32	2.05
2ozg/w3/	2.05	32.23	2.05
2ozj/w1/	1.6	22.24	1.6
2ozj/w2/	1.6	22.18	1.6
2ozj/w3/	1.6	22.05	1.6
2p10/w1/	2.15	33.41	2.15
2p10/w2/	2.13	34.26	2.13
2p4o/w1/	1.9	34.56	1.9
2p4o/w2/	1.95	36.37	1.95
2p4o/w3/	1.9	34.73	1.9
2p7h/w1/	1.85	20.95	1.85
2p7i/w1/	1.74	24.36	1.74
2p7i/w2/	1.79	25.79	1.79
2p97/w1/	1.65	22.85	1.65
2p97/w2/	1.6	17.08	1.6
2p97/w3/	1.6	16.71	1.6
2p97/w4/	1.6	17.64	1.6
2pg3/w1/	2.4	47.24	2.4
2pg4/w1/	2.21	47.39	2.21
2pg4/w2/	2.21	47.65	2.21
2pgc/w1/	2.53	50.35	2.53
2pgc/w2/	2.6	51	2.6
2pim/w1/	2.2	35.13	2.2
2pim/w2/	2.2	35.14	2.2
2pn1/w1/	2	26.58	2
2pn1/w2/	2	27.41	2
2pnk/w1/	2	27.07	2
2pnk/w2/	2	27.54	2
2ppv/w1/	2	27.06	2
2ppv/w2/	2.11	26.36	2.11
2pr7/w1/	1.44	17.95	1.44
2pr7/w2/	1.55	18.99	1.55
2prv/w1/	1.3	12.14	1.3
2prv/w2/	1.3	12.61	1.3
2prv/w3/	1.37	14.55	1.37
2prx/w1/	2.01	18.15	2.01
2prx/w2/	2	18.18	2
2prx/w3/	2	18.48	2
2prx/w4/	2.01	18.15	2.01
2pv4/w1/	1.95	34.77	1.95
2pv4/w2/	1.95	36.5	1.95
2pv4/w3/	1.95	36.28	1.95
2pw4/w1/	1.45	11.63	1.45
2pw4/w2/	1.45	11.66	1.45
2pw4/w3/	1.45	11.56	1.45
3fki/w1/	3.8	151.11	3.8
3k9g/w1/	2.25	32.27	2.25
3km3/w1/	2.1	18.4	2.1
3p96/w1/	2.05	31.85	2.05
3qqc/w1/	3.3	129.23	3.3
1xri/w1/	3.49	41.52	3.49
1y7e/w1/	2.7	30.41	2.7
2aj2/w1/	3.21	30.64	3.21
2pr1/w1/	3.2	89.54	3.2
2wcd/w1/	3.29	92.47	3.29
2wxw/w1/	3.3	150.28	3.3
2xdd/w1/	3.2	59.32	3.2
2zxh/w1/	3.2	60.39	3.2
3caz/w1/	3.34	124.81	3.34
3din/w1/	4.5	225.94	4.5
3dto/w1/	3.32	70.9	3.32
3fx0/w1/	3.29	116.39	3.29
3guw/w1/	3.16	60.32	3.16
3gw7/w1/	3.29	109.77	3.29
3hxk/w1/	3.08	66.57	3.08
3hxp/w1/	3.15	80.76	3.15
3i5d/w1/	3.3	110.94	3.3
3iko/w1/	3.18	95.39	3.18
3lml/w1/	3.3	55.6	3.3
3m6a/w1/	3.4	108.13	3.4
3mv3/w1/	3.25	95	3.25
3ov0/w1/	3.2	100.11	3.2
3pg5/w1/	3.3	60.05	3.3
3zgx/w1/	3.4	106.69	3.4
3zxu/w1/	3.8	142.64	3.8
4a2n/w1/	3.4	90.93	3.4
4acb/w1/	3.34	116.3	3.34
4ai6/w1/	3.4	129.43	3.4
4aj5/w1/	3.32	96.78	3.32
4aki/w1/	3.7	135.33	3.7
4asn/w1/	3.5	129.92	3.5
4b09/w1/	3.3	99.92	3.3
4biu/w1/	3.65	143.41	3.65
4bql/w1/	3.34	82.41	3.34
4cb0/w1/	3.3	126.21	3.3
4cbv/w1/	3.39	74.48	3.39
4cv5/w1/	3.81	163.13	3.81
4fsx/w1/	3.19	56.01	3.19
4g9i/w1/	4.5	135	4.5
4gkw/w1/	3	73.09	3
4h6y/w1/	4.09	143.68	4.09
4hkr/w1/	3.35	74.28	3.35
4hnd/w1/	3.2	67.23	3.2
