key	d_min	B-HA	B-overall
1hf8/w1/	2	39.06	39.06
1vjn/w1/	2	56.84	30.27
1vjn/w2/	3	56.84	32.27
1vjn/w3/	3	56.84	34.11
1vjr/w1/	2.4	66.35	42.02
1vjr/w2/	2.5	66.35	43.98
1vjr/w3/	2.5	66.35	43.04
1vjz/w1/	2.05	29	26.74
1vjz/w2/	2.5	29	32.77
1vjz/w3/	2.5	29	33.69
1vk4/w1/	1.91	28.79	18.2
1vk4/w2/	2	28.79	19.13
1vk4/w3/	2	28.79	19.13
1vkm/w1/	2.18	35.27	31.24
1vkm/w2/	2.18	35.27	31.29
1vkm/w3/	2.18	35.27	31.85
1vlm/w1/	2.2	74.11	28.17
1vlm/w2/	2.19	74.11	27.5
1vlm/w3/	2.79	74.11	40.52
1vqr/w1/	2.25	71	39.56
1z82/w1/	2	47.62	23.69
1z82/w2/	1.99	47.62	25.39
1zy9/w1/	2.34	53.27	28.1
1zy9/w2/	2.36	53.27	27.92
1zy9/w3/	2.99	53.27	32.12
1zyb/w1/	2.1	60.32	36.08
1zyb/w2/	2.1	60.32	36.23
2a2o/w1/	2.16	50.65	36.5
2a2o/w2/	2.1	50.65	36.87
2a3n/w1/	1.23	10.84	8.8
2a3n/w2/	1.34	10.84	9.9
2a3n/w3/	1.23	10.84	10.6
2a6b/w1/	1.7	31.24	21.15
2a6b/w2/	2.11	31.24	12.84
2a6b/w3/	2.11	31.24	13.26
2a6b/w4/	2.11	31.24	13.68
2a6b/w5/	2.11	31.24	16.01
2ahy/w1/	3.19	112.6	112.6
2aml/w1/	1.5	23.02	10.73
2aml/w2/	1.5	23.02	11.45
2avn/w1/	2.35	76.81	39.32
2avn/w2/	2.44	76.81	46.38
2avn/w3/	2.44	76.81	43.93
2b78/w1/	1.96	23.98	23.98
2b8m/w1/	1.7	32.87	14.01
2b8m/w2/	1.8	32.87	18.65
2b8m/w3/	1.8	32.87	19.08
2etd/w1/	2.28	36.12	33.06
2etd/w2/	2.28	36.12	31.85
2etd/w3/	2.29	36.12	37.71
2etj/w1/	1.74	43.63	19.38
2etj/w2/	1.7	43.63	19.73
2ets/w1/	2.25	68.44	38.61
2etv/w1/	1.7	39.42	19.9
2etv/w2/	1.7	39.42	20.5
2evr/w1/	1.6	20.26	19.67
2evr/w2/	1.6	20.26	19.96
2f4p/w1/	1.9	50.16	23.53
2f4p/w2/	1.9	50.16	23.42
