key D_min	dmin_resol	B
1hf8/w1/	2	2	39.06
1vjn/w1/	2	2	30.27
1vjn/w2/	3	3	32.27
1vjn/w3/	3	3	34.11
1vjr/w1/	2.4	2.4	42.02
1vjr/w2/	2.5	2.5	43.98
1vjr/w3/	2.5	2.5	43.04
1vjz/w1/	2.05	2.05	26.74
1vjz/w2/	2.5	2.5	32.77
1vjz/w3/	2.5	2.5	33.69
1vk4/w1/	1.91	1.91	18.2
1vk4/w2/	2	2	19.13
1vk4/w3/	2	2	19.13
1vkm/w1/	2.18	2.18	31.24
1vkm/w2/	2.18	2.18	31.29
1vkm/w3/	2.18	2.18	31.85
1vlm/w1/	2.2	2.2	28.17
1vlm/w2/	2.19	2.19	27.5
1vlm/w3/	2.79	2.79	40.52
1vqr/w1/	2.25	2.25	39.56
1z82/w1/	2	2	23.69
1z82/w2/	1.99	1.99	25.39
1zy9/w1/	2.34	2.34	28.1
1zy9/w2/	2.36	2.36	27.92
1zy9/w3/	2.99	2.99	32.12
1zyb/w1/	2.1	2.1	36.08
1zyb/w2/	2.1	2.1	36.23
2a2o/w1/	2.16	2.16	36.5
2a2o/w2/	2.1	2.1	36.87
2a3n/w1/	1.23	1.23	8.8
2a3n/w2/	1.34	1.34	9.9
2a3n/w3/	1.23	1.23	10.6
2a6b/w1/	1.7	1.7	21.15
2a6b/w2/	2.11	2.11	12.84
2a6b/w3/	2.11	2.11	13.26
2a6b/w4/	2.11	2.11	13.68
2a6b/w5/	2.11	2.11	16.01
2ahy/w1/	3.19	3.19	112.6
2aml/w1/	1.5	1.5	10.73
2aml/w2/	1.5	1.5	11.45
2avn/w1/	2.35	2.35	39.32
2avn/w2/	2.44	2.44	46.38
2avn/w3/	2.44	2.44	43.93
2b78/w1/	1.96	1.96	23.98
2b8m/w1/	1.7	1.7	14.01
2b8m/w2/	1.8	1.8	18.65
2b8m/w3/	1.8	1.8	19.08
2etd/w1/	2.28	2.28	33.06
2etd/w2/	2.28	2.28	31.85
2etd/w3/	2.29	2.29	37.71
2etj/w1/	1.74	1.74	19.38
2etj/w2/	1.7	1.7	19.73
2ets/w1/	2.25	2.25	38.61
2etv/w1/	1.7	1.7	19.9
2etv/w2/	1.7	1.7	20.5
2evr/w1/	1.6	1.6	19.67
2evr/w2/	1.6	1.6	19.96
2f4p/w1/	1.9	1.9	23.53
2f4p/w2/	1.9	1.9	23.42
2fdn/w1/	0.94	0.94	5.66
2fea/w1/	2	2	28.58
2fea/w2/	2	2	27.57
2ffj/w1/	2.45	2.45	44.53
2ffj/w2/	2.66	2.66	53.71
2ffj/w3/	2.45	2.45	43.67
2fg0/w1/	1.79	1.79	23.9
2fg0/w2/	1.79	1.79	23.43
2fg9/w1/	2.2	2.2	48.02
2fg9/w2/	2.2	2.2	47.42
2fg9/w3/	2.2	2.2	48.86
2fna/w1/	2	2	31.25
2fna/w2/	2	2	30.88
2fqp/w1/	1.8	1.8	11.28
2fqp/w2/	1.8	1.8	11.31
2fur/w1/	1.8	1.8	25.27
2fur/w2/	1.8	1.8	25.74
2fur/w3/	1.9	1.9	24.7
2fzt/w1/	2.05	2.05	20.63
2fzt/w2/	2	2	21.13
2g0t/w1/	2.67	2.67	36.93
2g0t/w2/	2.82	2.82	33.51
2g0t/w3/	2.74	2.74	35.52
2g42/w1/	2.28	2.28	35.52
2gc9/w1/	1.7	1.7	12.5
2gc9/w2/	1.7	1.7	14.49
2hba/w1/	1.25	1.25	13.99
2nlv/w1/	1.3	1.3	10.36
2nlv/w2/	1.3	1.3	10.32
2nlv/w3/	1.33	1.33	11.76
2nuj/w1/	2	2	25.11
2nwv/w1/	1.85	1.85	23.72
2nwv/w2/	1.9	1.9	24.07
2nwv/w3/	1.95	1.95	22.82
2o08/w1/	1.9	1.9	25.15
2o08/w2/	2.46	2.46	40.34
2o08/w3/	2.47	2.47	40.17
2o08/w4/	2.46	2.46	41.04
2o0h/w1/	1.85	1.85	34.75
2o1q/w1/	1.5	1.5	17.04
2o1q/w2/	2	2	22.5
2o1q/w3/	2	2	24.93
2o1q/w4/	2	2	22.83
2o2x/w1/	1.5	1.5	11.24
2o2x/w2/	1.5	1.5	11.26
2o2z/w1/	2.6	2.6	34.76
2o3l/w1/	2.05	2.05	31.44
2o3l/w2/	2	2	31.16
2o3l/w3/	2	2	31.15
2o62/w1/	1.75	1.75	16.69
2o7t/w1/	2.1	2.1	35.54
2o7t/w2/	2.1	2.1	33.57
2o8q/w1/	1.55	1.55	19.82
2o8q/w2/	2.48	2.48	43.17
2o8q/w3/	2.48	2.48	42.74
2o8q/w4/	2.48	2.48	42.45
2obp/w1/	1.7	1.7	23.95
2obp/w2/	1.7	1.7	24.07
2obp/w3/	1.7	1.7	23.93
2oc5/w1/	1.68	1.68	23.92
2oc5/w2/	1.68	1.68	24.18
2oc5/w3/	1.68	1.68	23.42
2od5/w1/	1.79	1.79	24.79
2od5/w2/	1.85	1.85	25.19
2od6/w1/	1.85	1.85	29.81
2od6/w2/	1.9	1.9	32.1
2od6/w3/	1.9	1.9	31.83
2oh3/w1/	2	2	31.61
2oh3/w2/	2	2	31.7
2okc/w1/	2.2	2.2	38.09
2okc/w2/	2.21	2.21	38.15
2okc/w3/	2.21	2.21	38.13
2okf/w1/	1.6	1.6	17.46
2okf/w2/	1.6	1.6	17.64
2okf/w3/	1.6	1.6	17.93
2ooj/w1/	1.84	1.84	24.65
2opk/w1/	2.1	2.1	23.68
2opk/w2/	2.1	2.1	24.24
2opk/w3/	2.1	2.1	24.07
2osd/w1/	2.3	2.3	51.09
2osd/w2/	2.3	2.3	51.54
2osd/w3/	2.3	2.3	51.37
2otm/w1/	1.85	1.85	18.48
2otm/w2/	1.85	1.85	19.12
2otm/w3/	1.9	1.9	21.51
2ozg/w1/	2	2	30.21
2ozg/w2/	2.05	2.05	30.32
2ozg/w3/	2.05	2.05	32.23
2ozj/w1/	1.6	1.6	22.24
2ozj/w2/	1.6	1.6	22.18
2ozj/w3/	1.6	1.6	22.05
2p10/w1/	2.15	2.15	33.41
2p10/w2/	2.13	2.13	34.26
2p4o/w1/	1.9	1.9	34.56
2p4o/w2/	1.95	1.95	36.37
2p4o/w3/	1.9	1.9	34.73
2p7h/w1/	1.85	1.85	20.95
2p7i/w1/	1.74	1.74	24.36
2p7i/w2/	1.79	1.79	25.79
2p97/w1/	1.65	1.65	22.85
2p97/w2/	1.6	1.6	17.08
2p97/w3/	1.6	1.6	16.71
2p97/w4/	1.6	1.6	17.64
2pg3/w1/	2.4	2.4	47.24
2pg4/w1/	2.21	2.21	47.39
2pg4/w2/	2.21	2.21	47.65
2pgc/w1/	2.53	2.53	50.35
2pgc/w2/	2.6	2.6	51
2pim/w1/	2.2	2.2	35.13
2pim/w2/	2.2	2.2	35.14
2pn1/w1/	2	2	26.58
2pn1/w2/	2	2	27.41
2pnk/w1/	2	2	27.07
2pnk/w2/	2	2	27.54
2ppv/w1/	2	2	27.06
2ppv/w2/	2.11	2.11	26.36
2pr7/w1/	1.44	1.44	17.95
2pr7/w2/	1.55	1.55	18.99
2prv/w1/	1.3	1.3	12.14
2prv/w2/	1.3	1.3	12.61
2prv/w3/	1.37	1.37	14.55
2prx/w1/	2.01	2.01	18.15
2prx/w2/	2	2	18.18
2prx/w3/	2	2	18.48
2prx/w4/	2.01	2.01	18.15
2pv4/w1/	1.95	1.95	34.77
2pv4/w2/	1.95	1.95	36.5
2pv4/w3/	1.95	1.95	36.28
2pw4/w1/	1.45	1.45	11.63
2pw4/w2/	1.45	1.45	11.66
2pw4/w3/	1.45	1.45	11.56
3fki/w1/	3.8	3.8	151.11
3k9g/w1/	2.25	2.25	32.27
3km3/w1/	2.1	2.1	18.4
3p96/w1/	2.05	2.05	31.85
3qqc/w1/	3.3	3.3	129.23
1xri/w1/	3.49	3.49	41.52
1y7e/w1/	2.7	2.7	30.41
2aj2/w1/	3.21	3.21	30.64
2pr1/w1/	3.2	3.2	89.54
2wcd/w1/	3.29	3.29	92.47
2wxw/w1/	3.3	3.3	150.28
2xdd/w1/	3.2	3.2	59.32
2zxh/w1/	3.2	3.2	60.39
3caz/w1/	3.34	3.34	124.81
3din/w1/	4.5	4.5	225.94
3dto/w1/	3.32	3.32	70.9
3fx0/w1/	3.29	3.29	116.39
3guw/w1/	3.16	3.16	60.32
3gw7/w1/	3.29	3.29	109.77
3hxk/w1/	3.08	3.08	66.57
3hxp/w1/	3.15	3.15	80.76
3i5d/w1/	3.3	3.3	110.94
3iko/w1/	3.18	3.18	95.39
3lml/w1/	3.3	3.3	55.6
3m6a/w1/	3.4	3.4	108.13
3mv3/w1/	3.25	3.25	95
3ov0/w1/	3.2	3.2	100.11
3pg5/w1/	3.3	3.3	60.05
3zgx/w1/	3.4	3.4	106.69
3zxu/w1/	3.8	3.8	142.64
4a2n/w1/	3.4	3.4	90.93
4acb/w1/	3.34	3.34	116.3
4ai6/w1/	3.4	3.4	129.43
4aj5/w1/	3.32	3.32	96.78
4aki/w1/	3.7	3.7	135.33
4asn/w1/	3.5	3.5	129.92
4b09/w1/	3.3	3.3	99.92
4biu/w1/	3.65	3.65	143.41
4bql/w1/	3.34	3.34	82.41
4cb0/w1/	3.3	3.3	126.21
4cbv/w1/	3.39	3.39	74.48
4cv5/w1/	3.81	3.81	163.13
4fsx/w1/	3.19	3.19	56.01
4g9i/w1/	4.5	4.5	135
4gkw/w1/	3	3	73.09
4h6y/w1/	4.09	4.09	143.68
4hkr/w1/	3.35	3.35	74.28
4hnd/w1/	3.2	3.2	67.23
4ifq/w1/	3.25	3.25	74.53
4lck/w1/	3.2	3.2	114.73
4m2s/w1/	4.31	4.31	202.53
4nha/w1/	3.4	3.4	104.71
4nsc/w1/	3.2	3.2	60.28
4nt5/w1/	3.28	3.28	120.96
4px7/w1/	3.2	3.2	97.68
4q8j/w1/	3.8	3.8	112.11
4qka/w1/	3.19	3.19	91.09
4tq5/w1/	3.2	3.2	91.28
